,Laptop Name,laptop Price,laptop Rating,Feture
0,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U ,"₹43,890",4.3,AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayOffice Home and Student 20212 Years Onsite�Warranty
1,Infinix X1 Slim Series Core i5 10th Gen ,"₹39,890",4,Intel Core i5 Processor (10th Gen)16 GB LPDDR4X RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 Inch) DisplayNA1 Year Onsite Warranty
2,DELL Inspiron Ryzen 3 Dual Core 3250U ,"₹37,700",4.6,AMD Ryzen 3 Dual Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty
3,ASUS Vivobook 15 Core i3 10th Gen ,"₹28,890",4.1,Intel Core i3 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty
4,HP Core i5 12th Gen ,"₹57,890",4.3,Intel Core i5 Processor (12th Gen)16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 inch) DisplayMicrosoft Office Home & Student 20211 Year Onsite Warranty
5,MSI Modern 14 Ryzen 5 Hexa Core 5500U ,"₹41,890",4.4,AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 inch) Display1 Year Warranty
6,HP Pavilion Ryzen 5 Hexa Core AMD R5,"₹49,890",4.5,"AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayHP Documentation, HP e-service, HP BIOS Recovery, HP SSRM, HP Smart, HP Jumpstarts1 Year Onsite Warranty"
7,Infinix X1 Series Core i7 10th Gen ,"₹46,890",4.3,Intel Core i7 Processor (10th Gen)16 GB LPDDR4X RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty
8,ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7,"₹54,890",4.3,AMD Ryzen 7 Octa Core Processor16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year onsite warranty
9,ASUS TUF Gaming F15 Core i5 10th Gen ,"₹46,890",4.3,Intel Core i5 Processor (10th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty
10,ASUS ROG Strix G15 Ryzen 7 Octa Core AMD R7,"₹89,890",4.8,AMD Ryzen 7 Octa Core Processor16 GB DDR4 RAMWindows 11 Operating System1 TB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office Home & Student1 Year Onsite Warranty
11,Infinix X1 Slim Series Core i7 10th Gen ,"₹46,890",3.7,Intel Core i7 Processor (10th Gen)16 GB LPDDR4X RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 Inch) DisplayNA1 Year Onsite Warranty
12,Lenovo Core i3 10th Gen ,"₹30,890",4.3,Intel Core i3 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayOffice Home and Student 20212 Year Onsite�Warranty
13,MSI Bravo 15 Ryzen 5 Hexa Core AMD R5,"₹49,890",4.5,AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Warranty
